BEV_DICHTH,OPP_WATER,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,horeca,score
5010,0,6.9,7.3,0.4,1,12,6.1,3.4,0.1,1.1,7.3,0.3,3.2,365,64,28,8,1.4,29,5,1,0,0,0,958.1381799,1134.00639,120.2156193,5000,134.4256296,2562.392322,2010.18126,0,3623.731784,0.01,0,0,0,0,0.118142831,0.274406404,0.012765497,1,0.053842389,0.089574156,0.015173764,0.017621145,0.010321608,6
3385,0,7.1,7.5,0.6,1.2,15,5.4,3.2,0.3,0.9,7.5,0.8,2.7,195,38,24,38,2.1,20,9,6,0,0,0,690.7244014,0,66.19716439,1698.242984,23.45807014,596.5826331,235.0675015,463.3802181,1124.758356,0,0.087336245,0.403930131,0.366812227,0.113537118,0.36687428,0.213721672,0.056964487,1,0.359128065,0.228882834,0.017983651,0.007084469,0.01139585,6
5085,0,6.1,7.1,1.1,0.9,5,8.6,2.7,0.6,2,7.2,0.1,1.9,545,36,30,34,2.1,17,4,1,0,0,0,1710.202837,35.17952589,0,1716.728337,15.49996365,1595.855332,497.3503544,144.9046378,762.0708379,0,0.226190476,0.464285714,0.202380952,0.05952381,0.454884603,0.016732859,0.048744893,1,0.229901269,0.212270804,0.029619182,0.009873061,0.003389605,6
6027,0,7.4,7.8,0.4,1.5,10,6.8,3,0.1,1,7.8,0.6,2.6,510,52,30,18,1.7,21,3,0,0,0,0,3661.154044,0,50.18590876,4517.351439,336.2722137,2541.159103,663.8357426,131.9126658,1689.967796,0.01,0,0,0,0,0.127038165,0.723412779,0.023563076,0.996840997,0.4004914,0.12004212,0.011934012,0.002106002,0.001632747,6
5086,0,5.4,5.8,1.9,0.9,3,9.7,1.7,1,2.7,5.9,1,1,630,24,36,40,2.3,17,1,0,0,0,0,4307.862965,577.9720825,237.2265412,5000,384.6597767,3969.252166,1340.408899,0,2902.273971,0,0,0,0,0,0.278154041,0.011610838,0.013742054,0.999060407,0.168874172,0.145695364,0.026490066,0.009933775,0.003881358,7
2135,0,5.8,6,2,0.8,6,6.3,1,1,2.4,6,1,1,545,22,36,42,2.3,19,3,1,0,0,0,6697.403421,561.1397609,2.187804948,5000,181.2510961,3372.631303,466.8481013,23.87934793,9.419866979,0,0,0.142857143,0,0.857142857,0.291164569,0.198512692,0.006857265,1,0.201877934,0.20657277,0.014084507,0.009389671,0.004745448,7
4572,0,5.9,7.2,1.5,1.2,2,9.7,0.5,1,2.4,7.3,0,1,500,14,37,49,2.6,14,1,0,0,0,0,223.6776225,0,86.02836619,572.1007319,159.9036633,251.7602018,534.0189663,534.0364697,440.9249561,0,0.064770932,0.151658768,0.524486572,0.156398104,0.000817147,0.00495781,0.035284376,1,0.20890411,0.287671233,0.010273973,0.017123288,0.043396844,6
5696,0,7.7,8.3,0.8,1.9,13,6.8,1.3,0.5,1,8.3,0.2,1.4,635,37,30,34,2.1,22,7,3,2,0,1,432.2075021,406.1573648,131.1079679,3667.031142,254.8025475,3377.029222,122.0585805,0,404.9003468,0,0.2,0,0.4,0,0.126151689,0.025117059,0.366526396,1,0.173169945,0.189616253,0.006772009,0.004514673,0.028582709,6
3223,0,7.2,8.2,1,1.9,7,6.7,2.4,0.5,1.9,8.2,1,2.8,305,30,39,31,2.2,21,11,9,0,0,0,2052.906645,0,71.54916658,4189.913453,103.1051123,4148.313553,657.1322699,397.5875479,655.0366631,0,0,0.312820513,0,0.687179487,0.282684769,0.524488381,4.21004588,0.800023023,0.403846154,0.185897436,0.012820513,0.006410256,0.023192716,6
5072,0,7,7.9,0.7,1.5,14,6.5,3.9,0.5,1.6,7.9,1,3.8,445,35,32,34,2.1,19,10,4,1,1,0,3351.143539,0,0.844672943,2956.558549,407.8720606,4558.826687,1253.954603,357.4805846,1339.436053,0,0,0,0,1,0.059167618,0.823103758,0.047882053,1,0.221789883,0.077821012,0.027237354,0.038910506,0.015253224,6
8128,0,6.7,8.3,1.5,1.9,17,6.7,2,0.3,2.4,8.3,0.8,1,745,62,24,13,1.5,24,7,1,0,1,0,3393.210153,0,89.95243838,2288.110415,127.4284595,4284.664096,574.6872536,461.674033,1613.320214,0,0,1,0,0,0.35614613,0.402868334,4.209895298,0.800023023,0.701398601,0.045804196,0.033566434,0.01048951,0.006779211,5
4057,0,4.5,7.3,0.7,2,8,10.1,1.1,0.3,3.8,7.5,0.1,2.9,655,27,30,43,2.3,17,3,1,0,0,0,2570.082137,0,150.0079305,4239.905064,261.153463,1366.264541,4809.6688,331.6166069,494.8253651,0,0.046692607,0.66536965,0.073929961,0.20233463,0.405795401,0.017665311,0.067136537,1,0.283372365,0.194379391,0.007025761,0.032786885,0.085399774,7
