,BU_NAAM,GM_NAAM,BEV_DICHTH,OPP_WATER,AV1_CAFE,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AV1_RESTAU,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,water,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,score
635,Panningen,Peel en Maas,1821,0,3,9.9,16.2,1.1,4.6,5,1,2.7,0.5,1.4,16.4,3.1,2.2,6.1,2920,31,37,32,2.2,8,9,3,0,0,3,230.9207788,0,78.10569791,381.0731307,66.09482727,3410.841998,689.192485,5000,414.1215507,516.7804133,0.03,0.362647325,0.267452403,0.036264733,0.332728921,0.125845913,0.103379692,0.026261029,0.945137157,0.334164589,0.08478803,0.019950125,0.007481297,7 Goed
636,Helden,Peel en Maas,800,0,4,8.6,15.3,2.2,5.1,4,0.9,0.8,0.8,2.7,15.5,3.2,2.1,1,2220,24,36,41,2.5,7,4,2,0,0,1,1881.376999,0,62.90056307,5000,77.29760033,1655.780251,403.9803854,5000,1055.796261,631.9733838,0,0.013986014,0.986013986,0,0,0.066755218,0.065990141,0.244083854,0.995670996,0.471861472,0.086580087,0.021645022,0.008658009,7 Goed
637,Grashoek,Peel en Maas,243,0,1.6,12.2,19,5.7,0.6,3,0,0,2.4,5.8,19.2,0.8,0.8,0.8,505,17,36,47,2.7,7,0,-99999999,-99999999,-99999999,-99999999,2946.818906,0,9.241934846,5000,27.20312035,1301.913577,756.7881188,5000,236.3479705,420.7032071,0,0.3,0.55,0.15,0,0.082774686,0.42240001,0.094150546,0.989198844,0.763636364,0.054545455,0.018181818,0,7 Goed
638,Koningslust,Peel en Maas,182,0,1.5,10.3,14.5,3.9,0.7,5,0,0,2.9,4.9,14.7,0.7,0.7,0,435,21,39,39,2.5,4,1,0,0,0,0,1013.834028,0,0,5000,36.18584118,1865.267665,122.1281646,5000,140.8514754,165.5913625,0,0.583333333,0.25,0,0.166666667,0.512983714,8.469036453,17.75971941,1,0.483333333,0.083333333,0.033333333,0.016666667,7 Goed
639,Kievitsheide,Peel en Maas,28,2,0.3,13.5,20.3,6.2,1.9,-99999999,0.1,0,2.8,6.1,20.6,0.1,0.1,0.1,60,23,37,40,2.6,8,0,-99999999,-99999999,-99999999,-99999999,2065.551683,64.84000102,0,5000,30.90171824,2127.474057,27.28171167,5000,37.30324155,927.6727319,0,0.444444444,0,0,0.111111111,0.03413057,0.064520657,0.033630374,0.5,0,0,0,0,6 Ruim voldoende
640,Hatert,Nijmegen,6911,9,2.6,4.3,5.5,3.1,0.7,15,5.6,3.3,0.5,2.2,5.3,2.2,1.5,2.3,5700,54,23,23,1.7,17,19,3,2,1,6,2168.268318,0,155.5425204,5000,254.9710736,446.822636,508.4417123,5000,505.8838118,790.9467355,0,0.053278689,0.43442623,0.229508197,0.25,0,0,0,1,1,0,0,0.033333333,5 Voldoende
641,Verspreide huizen Neerkant,Deurne,57,1,0.7,11.9,19.9,9.3,4.2,6,1.5,0.3,1.8,10.5,24.8,0.2,0.2,0,185,17,32,51,2.9,1,0,-99999999,-99999999,-99999999,-99999999,2444.760718,0,106.026538,5000,142.9784738,1043.010433,187.1113371,5000,453.8305766,57.47481036,0,0.007246377,0.031400966,0.026570048,0.8647343,0.16809232,0.176678487,0.138170191,1,0.742857143,0,0,0,7 Goed
642,Helenaveen,Deurne,284,5,0.8,10.9,20.8,9,4.1,6,0,0,0.5,9.4,21,0,0.9,1.9,285,29,35,35,2.3,4,0,-99999999,-99999999,-99999999,-99999999,3779.298204,372.0399338,21.10156873,5000,10.24599613,335.8597856,1139.335999,5000,98.53154803,1098.730127,0,1,0,0,0,0.094687313,0.147429348,0.023062534,0.99059393,0.31147541,0.147540984,0.081967213,0.024590164,7 Goed
643,Verspreide huizen Helenaveen,Deurne,14,80,0.2,12.2,22.1,10.5,5.8,-99999999,0,0,2.3,11,22.6,0,0.1,0.1,80,18,30,51,2.6,4,1,-99999999,-99999999,-99999999,-99999999,4030.977503,483.6651781,10.18250505,5000,246.8015546,104.8554828,1576.194584,5000,57.21252543,1055.687425,0,1,0,0,0,1.090710948,10.85423498,0.536646747,0.536646747,0,0,0,0,6 Ruim voldoende
644,Verspreide huizen Vlierden,Deurne,23,3,0.1,3.9,9.3,5.2,4.9,-99999999,0.1,0,3.4,5.3,22.7,0.3,0.1,0,85,17,32,51,3.1,2,1,-99999999,-99999999,-99999999,-99999999,2024.384363,0,126.5452201,5000,247.7032148,1195.561784,137.718018,5000,553.3863132,399.6843654,0,0.058064516,0,0.025806452,0.909677419,0.125619196,0.341299571,0.717659118,0.5,0,0,0,0,7 Goed
